-0.11,0.01,-0.03,-0.00,0.03,-0.03,0.13,0.08,0.06,0.04,1.00,-0.07,-0.09,0.14,-0.14,0.05,0.01,-0.05,0.08,0.04,0.09,0.11,-0.05,0.04,-0.05,-0.01,-0.01,0.01,-0.12,0.02,0.16,0.16,0.12
-0.06,-0.04,0.27,-0.02,0.00,-0.17,-0.01,-0.10,0.01,-0.08,-0.07,1.00,0.03,-0.01,0.17,-0.04,0.02,0.07,0.01,-0.02,-0.11,-0.00,0.11,-0.05,0.05,0.05,0.02,-0.01,0.02,0.15,-0.12,-0.10,-0.08
0.25,0.04,0.03,-0.34,0.01,0.04,-0.27,-0.21,-0.16,0.00,-0.09,0.03,1.00,-0.06,0.10,-0.04,-0.04,-0.04,-0.03,-0.01,-0.07,-0.19,0.00,-0.01,0.00,0.06,0.09,0.06,-0.05,-0.01,-0.15,-0.15,-0.13
-0.14,-0.21,-0.01,0.06,-0.01,-0.01,0.10,0.05,0.06,-0.02,0.14,-0.01,-0.06,1.00,-0.15,0.09,0.14,-0.00,0.07,0.04,0.19,0.04,0.03,-0.00,-0.07,-0.08,-0.14,-0.21,-0.06,-0.12,0.26,0.24,0.25
0.11,0.07,0.32,-0.06,-0.07,-0.01,-0.17,-0.17,-0.12,-0.06,-0.14,0.17,0.10,-0.15,1.00,-0.00,-0.01,0.07,0.00,-0.07,-0.31,-0.10,0.07,-0.06,0.11,0.05,0.11,0.08,0.04,0.12,-0.38,-0.39,-0.39
-0.12,-0.11,-0.17,0.02,-0.06,-0.01,-0.02,0.02,0.01,-0.01,0.05,-0.04,-0.04,0.09,-0.00,1.00,0.08,0.04,-0.03,0.02,0.09,-0.03,-0.09,-0.01,-0.02,-0.06,-0.03,-0.10,0.02,-0.06,-0.07,-0.06,-0.07
-0.06,-0.13,-0.10,0.01,-0.04,0.01,0.12,0.14,0.04,-0.04,0.01,0.02,-0.04,0.14,-0.01,0.08,1.00,0.09,-0.01,0.03,0.09,0.07,-0.02,0.02,0.00,0.02,-0.02,-0.07,0.02,0.04,0.04,0.04,0.06
-0.01,0.08,-0.01,-0.03,-0.05,0.02,0.11,0.09,0.01,-0.02,-0.05,0.07,-0.04,-0.00,0.07,0.04,0.09,1.00,0.07,0.03,0.02,0.03,-0.02,0.03,-0.05,-0.01,0.05,0.04,0.06,-0.04,-0.06,-0.03,-0.05
-0.09,0.12,-0.05,-0.01,-0.01,0.10,0.12,0.08,0.10,0.02,0.08,0.01,-0.03,0.07,0.00,-0.03,-0.01,0.07,1.00,0.04,0.04,0.08,0.06,0.06,0.15,0.09,0.02,0.03,0.01,-0.02,0.08,0.07,0.06
0.00,-0.04,-0.02,0.02,0.10,-0.03,0.13,0.07,0.04,-0.05,0.04,-0.02,-0.01,0.04,-0.07,0.02,0.03,0.03,0.04,1.00,0.04,-0.01,-0.02,0.04,-0.01,0.02,-0.08,-0.08,0.00,-0.04,0.03,0.04,0.03
-0.14,-0.06,-0.27,0.08,0.00,0.02,0.21,0.19,0.15,0.09,0.09,-0.11,-0.07,0.19,-0.31,0.09,0.09,0.02,0.04,0.04,1.00,0.07,-0.10,0.05,-0.10,-0.07,-0.13,-0.08,0.02,-0.13,0.35,0.33,0.33
-0.24,0.07,0.01,0.18,0.01,0.06,0.27,0.18,0.26,0.09,0.11,-0.00,-0.19,0.04,-0.10,-0.03,0.07,0.03,0.08,-0.01,0.07,1.00,0.03,0.08,0.06,0.09,0.04,0.06,-0.02,0.07,0.14,0.15,0.15
0.07,-0.11,0.18,-0.03,-0.03,-0.05,-0.03,-0.07,-0.07,-0.00,-0.05,0.11,0.00,0.03,0.07,-0.09,-0.02,-0.02,0.06,-0.02,-0.10,0.03,1.00,-0.04,0.03,-0.00,0.06,-0.02,-0.02,0.08,-0.07,-0.10,-0.09
-0.03,0.08,-0.02,-0.03,0.00,0.05,0.02,0.02,0.03,0.04,0.04,-0.05,-0.01,-0.00,-0.06,-0.01,0.02,0.03,0.06,0.04,0.05,0.08,-0.04,1.00,0.13,0.09,-0.08,-0.09,0.11,-0.09,0.05,0.09,0.06
0.03,0.15,-0.00,-0.04,-0.02,0.04,-0.02,0.01,0.05,-0.04,-0.05,0.05,0.00,-0.07,0.11,-0.02,0.00,-0.05,0.15,-0.01,-0.10,0.06,0.03,0.13,1.00,0.35,0.11,0.12,0.08,-0.02,-0.09,-0.11,-0.12
0.04,0.06,0.11,0.02,-0.00,0.03,0.01,0.03,0.00,-0.03,-0.01,0.05,0.06,-0.08,0.05,-0.06,0.02,-0.01,0.09,0.02,-0.07,0.09,-0.00,0.09,0.35,1.00,0.25,0.39,-0.02,0.09,-0.07,-0.08,-0.09
0.05,0.28,0.13,-0.05,0.06,0.04,-0.01,0.00,0.05,0.06,-0.01,0.02,0.09,-0.14,0.11,-0.03,-0.02,0.05,0.02,-0.08,-0.13,0.04,0.06,-0.08,0.11,0.25,1.00,0.62,0.06,0.17,-0.20,-0.19,-0.20
0.01,0.32,0.09,-0.01,0.08,0.07,-0.02,0.04,0.03,0.04,0.01,-0.01,0.06,-0.21,0.08,-0.10,-0.07,0.04,0.03,-0.08,-0.08,0.06,-0.02,-0.09,0.12,0.39,0.62,1.00,0.11,0.16,-0.16,-0.16,-0.18
-0.06,0.14,-0.01,0.00,0.00,0.01,0.00,0.04,0.08,-0.03,-0.12,0.02,-0.05,-0.06,0.04,0.02,0.02,0.06,0.01,0.00,0.02,-0.02,-0.02,0.11,0.08,-0.02,0.06,0.11,1.00,-0.03,-0.05,-0.08,-0.10
-0.16,0.02,0.15,0.07,0.00,-0.12,-0.01,0.03,0.03,-0.05,0.02,0.15,-0.01,-0.12,0.12,-0.06,0.04,-0.04,-0.02,-0.04,-0.13,0.07,0.08,-0.09,-0.02,0.09,0.17,0.16,-0.03,1.00,-0.15,-0.12,-0.09
-0.29,-0.10,-0.17,0.16,0.05,0.02,0.26,0.22,0.18,0.11,0.16,-0.12,-0.15,0.26,-0.38,-0.07,0.04,-0.06,0.08,0.03,0.35,0.14,-0.07,0.05,-0.09,-0.07,-0.20,-0.16,-0.05,-0.15,1.00,0.86,0.83
-0.27,-0.10,-0.11,0.15,0.04,0.02,0.26,0.23,0.15,0.09,0.16,-0.10,-0.15,0.24,-0.39,-0.06,0.04,-0.03,0.07,0.04,0.33,0.15,-0.10,0.09,-0.11,-0.08,-0.19,-0.16,-0.08,-0.12,0.86,1.00,0.92
-0.28,-0.13,-0.11,0.17,0.05,-0.00,0.24,0.21,0.15,0.05,0.12,-0.08,-0.13,0.25,-0.39,-0.07,0.06,-0.05,0.06,0.03,0.33,0.15,-0.09,0.06,-0.12,-0.09,-0.20,-0.18,-0.10,-0.09,0.83,0.92,1.00
